name,goals_per90,assists_per90,goals_assists_pens_per90
José Luis Morales,"0.33,0.14,0.85","0.14,0.07,0.28","0.39,0.21,1.13"
Rúben Vezo,"0.13,0.00,0.00","0.07,0.00,0.00","0.20,0.00,0.00"
Aitor Fernández,,,
Maranhão,"0.83,0.34,0.00","0.00,0.08,0.00","0.83,0.39,0.00"
Shon Weissman,"0.91,0.00","0.14,0.00","0.99,0.00"
Luismi,"['0.05', '0.00', None]","['0.11', '0.00', None]","['0.16', '0.00', None]"
Javi Moyano,"0.00,0.00,0.00","0.04,0.00,0.00","0.04,0.00,0.00"
Kike Pérez,,,
Joaquín Fernández,"0.08,0.11,0.00","0.00,0.00,0.00","0.08,0.11,0.00"
Pablo Hervías,"0.00,0.08,0.00","0.00,0.00,0.00","0.00,0.08,0.00"
Toni Villa,"0.10,0.00,0.54","0.10,0.06,0.00","0.20,0.06,0.54"
Waldo Rubio,"0.18,0.00,0.00","0.00,0.19,0.00","0.18,0.19,0.00"
Raúl García,"0.00,0.00,0.00","0.30,0.09,0.00","0.30,0.09,0.00"
Luis Pérez,"0.00,0.00,0.00","0.00,0.11,0.00","0.00,0.11,0.00"
Javi Sánchez,"0.26,0.00,0.00","0.00,0.15,0.00","0.26,0.15,0.00"
